Activity, Exercise or Sport (1 hour),130 lb,155 lb,180 lb,205 lb,Calories per kg
Sky diving,177,211,245,279,0.61742672238806
Soccer,590,704,817,931,2.05944308059702
Soccer,413,493,572,651,1.44133935522388
Softball,295,352,409,465,1.02972154029851
Softball,236,281,327,372,0.823235629850746
Softball,354,422,490,558,1.23485344477612
Squash,708,844,981,1117,2.47106089552239
Table tennis, ping pong,236,281,327,372,0.823235629850746
Tai chi,236,281,327,372,0.823235629850746
Tennis,413,493,572,651,1.44133935522388
Tennis,354,422,490,558,1.23485344477612
Tennis,472,563,654,745,1.64782526567164
Trampoline,207,246,286,326,0.721008179104478
Volleyball,472,563,654,745,1.64782526567164
Volleyball,177,211,245,279,0.61742672238806
Volleyball,472,563,654,745,1.64782526567164
Wrestling,354,422,490,558,1.23485344477612
Wallyball,413,493,572,651,1.44133935522388
Backpacking, Hiking with pack,413,493,572,651,1.44133935522388
Carrying infant,207,246,286,326,0.721008179104478
Carrying infant,295,352,409,465,1.02972154029851
Carrying 16 to 24 lbs, upstairs,354,422,490,558,1.23485344477612
Carrying 25 to 49 lbs, upstairs,472,563,654,745,1.64782526567164
Standing, playing with children,light,165,197,229,261,0.576806543283582
Walk/run, playing with children,236,281,327,372,0.823235629850746
Walk/run, playing with children,295,352,409,465,1.02972154029851
Carrying small children,177,211,245,279,0.61742672238806
Loading, unloading car,177,211,245,279,0.61742672238806
Climbing hills,413,493,572,651,1.44133935522388
Climbing hills,443,528,613,698,1.5449208119403
Climbing hills,472,563,654,745,1.64782526567164
Climbing hills,531,633,735,838,1.85295717014925
Walking downstairs,177,211,245,279,0.61742672238806
Hiking, cross country,354,422,490,558,1.23485344477612
Bird watching,148,176,204,233,0.515199271641791
Marching, rapidly, military,384,457,531,605,1.33843490149254
Children's games, hopscotch, dodgeball,295,352,409,465,1.02972154029851
Pushing stroller or walking with children,148,176,204,233,0.515199271641791
Pushing a wheelchair,236,281,327,372,0.823235629850746
Walking,384,457,531,605,1.33843490149254
Rock climbing, mountain climbing,472,563,654,745,1.64782526567164
Walking,295,352,409,465,1.02972154029851
Walking,177,211,245,279,0.61742672238806
Walking,118,141,163,186,0.411617814925373
Walking,148,176,204,233,0.515199271641791
Walking,177,211,245,279,0.61742672238806
Walking,195,232,270,307,0.679710997014925
Walking,224,267,311,354,0.782615450746269
Walking,354,422,490,558,1.23485344477612
Walking,295,352,409,465,1.02972154029851
Walking,372,443,515,586,1.29713771940299
Walking,472,563,654,745,1.64782526567164
Boating, power, speed boat,148,176,204,233,0.515199271641791
Canoeing,236,281,327,372,0.823235629850746
Canoeing,177,211,245,279,0.61742672238806
Canoeing,413,493,572,651,1.44133935522388
Canoeing,708,844,981,1117,2.47106089552239
Crew, sculling, rowing, competition,708,844,981,1117,2.47106089552239
Kayaking,295,352,409,465,1.02972154029851
Paddle boat,236,281,327,372,0.823235629850746
Windsurfing, sailing,177,211,245,279,0.61742672238806
Sailing,295,352,409,465,1.02972154029851
Sailing,177,211,245,279,0.61742672238806
Skiing, water skiing,354,422,490,558,1.23485344477612
Ski mobiling,413,493,572,651,1.44133935522388
Skin diving,944,1126,1308,1489,3.29497352835821
Skin diving,738,880,1022,1163,2.57464235223881
Skin diving,413,493,572,651,1.44133935522388
Snorkeling,295,352,409,465,1.02972154029851
Surfing, body surfing or board surfing,177,211,245,279,0.61742672238806
Whitewater rafting, kayaking, canoeing,295,352,409,465,1.02972154029851
Swimming,590,704,817,931,2.05944308059702
Swimming,413,493,572,651,1.44133935522388
Swimming,413,493,572,651,1.44133935522388
Swimming,590,704,817,931,2.05944308059702
Swimming,649,774,899,1024,2.2652519880597
Swimming,354,422,490,558,1.23485344477612
Swimming,472,563,654,745,1.64782526567164
Swimming,472,563,654,745,1.64782526567164
Swimming,590,704,817,931,2.05944308059702
Swimming,236,281,327,372,0.823235629850746
Water aerobics, water calisthenics,236,281,327,372,0.823235629850746
Water polo,590,704,817,931,2.05944308059702
Volleyball,177,211,245,279,0.61742672238806
Water jogging,472,563,654,745,1.64782526567164
Diving, springboard or platform,177,211,245,279,0.61742672238806
Ice skating,325,387,449,512,1.13262599402985
Ice skating,413,493,572,651,1.44133935522388
Ice skating,531,633,735,838,1.85295717014925
Speed skating, ice, competitive,885,1056,1226,1396,3.08916462089552
Cross country skiing,413,493,572,651,1.44133935522388
Cross country skiing,472,563,654,745,1.64782526567164
Cross country skiing,531,633,735,838,1.85295717014925
Cross country skiing,826,985,1144,1303,2.88267871044776
